Order ID,Order Date,Region,Category,Sub-Category,Segment,Sales,Quantity,Discount,Profit
CA-2023-1108,2023-04-12,South,Office Supplies,Paper,Home Office,104.98,8,0.1,10.93
CA-2023-1109,2023-04-12,East,Furniture,Furnishings,Corporate,2281.03,6,0.1,194.29
CA-2023-1004,2023-04-15,East,Furniture,Tables,Corporate,995.12,2,0.05,250.2
CA-2023-1391,2023-04-15,Central,Office Supplies,Binders,Corporate,331.22,10,0.2,13.06
CA-2023-1266,2023-04-15,East,Technology,Copiers,Corporate,2839.45,4,0.0,915.55
CA-2023-1462,2023-04-16,East,Technology,Accessories,Corporate,1508.98,2,0.0,459.01
CA-2023-1366,2023-04-19,Central,Technology,Phones,Consumer,4147.85,8,0.0,1429.45
CA-2023-1382,2023-04-19,Central,Furniture,Bookcases,Home Office,510.92,1,0.0,118.45
CA-2023-1112,2023-04-23,Central,Technology,Accessories,Consumer,90.7,1,0.0,19.48
CA-2023-1126,2023-04-24,Central,Technology,Phones,Corporate,2416.17,5,0.15,-50.54
CA-2023-1374,2023-04-26,South,Office Supplies,Paper,Corporate,359.06,7,0.05,82.91
CA-2023-1072,2023-04-27,Central,Technology,Phones,Corporate,824.71,2,0.05,99.25
CA-2023-1370,2023-04-29,South,Office Supplies,Storage,Home Office,206.85,2,0.2,8.83
CA-2023-1329,2023-04-29,West,Technology,Machines,Corporate,1464.71,5,0.2,-105.13
CA-2023-1223,2023-05-01,East,Technology,Accessories,Home Office,4646.81,8,0.0,919.45
CA-2023-1205,2023-05-01,Central,Office Supplies,Appliances,Home Office,143.5,5,0.0,25.92
CA-2023-1073,2023-05-02,West,Office Supplies,Storage,Consumer,695.37,9,0.2,45.3
CA-2023-1447,2023-05-03,East,Office Supplies,Storage,Consumer,18.58,2,0.15,2.63
CA-2023-1497,2023-05-04,South,Furniture,Bookcases,Corporate,1363.91,4,0.15,171.15
CA-2023-1153,2023-05-05,East,Technology,Machines,Corporate,382.27,1,0.0,65.82
CA-2023-1343,2023-05-07,South,Furniture,Furnishings,Home Office,397.02,1,0.0,128.67
CA-2023-1071,2023-05-10,Central,Technology,Phones,Home Office,5666.87,8,0.0,1349.25
CA-2023-1090,2023-05-10,South,Office Supplies,Paper,Consumer,1039.27,9,0.1,51.9
CA-2023-1164,2023-05-10,South,Technology,Accessories,Consumer,1281.06,2,0.0,337.49
CA-2023-1449,2023-05-12,East,Furniture,Furnishings,Home Office,305.24,1,0.1,39.83
CA-2023-1170,2023-05-13,South,Office Supplies,Storage,Home Office,1103.71,10,0.0,271.22
CA-2023-1485,2023-05-13,West,Technology,Phones,Consumer,246.04,3,0.2,-20.58
CA-2023-1178,2023-05-14,Central,Office Supplies,Storage,Corporate,406.65,6,0.1,33.95
CA-2023-1145,2023-05-15,Central,Office Supplies,Binders,Home Office,1016.48,10,0.05,218.49
CA-2023-1209,2023-05-16,West,Office Supplies,Art,Corporate,638.97,9,0.05,160.63
CA-2023-1388,2023-05-16,Central,Office Supplies,Storage,Home Office,295.51,3,0.1,53.83
CA-2023-1277,2023-05-16,South,Technology,Accessories,Consumer,4540.0,10,0.0,992.97
CA-2023-1427,2023-05-16,South,Technology,Accessories,Corporate,451.38,2,0.0,105.6
CA-2023-1413,2023-05-18,Central,Technology,Copiers,Corporate,2355.53,6,0.05,471.89
CA-2023-1151,2023-05-21,Central,Furniture,Chairs,Consumer,336.23,1,0.0,101.46
CA-2023-1011,2023-05-22,Central,Furniture,Furnishings,Consumer,1056.42,9,0.05,227.65
CA-2023-1243,2023-05-23,South,Technology,Accessories,Consumer,1366.26,5,0.0,280.35
CA-2023-1417,2023-05-24,East,Office Supplies,Paper,Home Office,818.54,8,0.0,281.21
CA-2023-1261,2023-05-25,Central,Technology,Accessories,Home Office,3258.68,9,0.05,414.34
CA-2023-1254,2023-05-26,West,Furniture,Chairs,Home Office,2952.81,6,0.0,648.61
CA-2023-1154,2023-05-28,East,Furniture,Chairs,Home Office,1312.94,5,0.05,167.35
CA-2023-1407,2023-05-28,Central,Office Supplies,Art,Home Office,558.45,5,0.15,55.61
CA-2023-1436,2023-05-29,West,Technology,Copiers,Consumer,2833.0,8,0.1,130.34
CA-2023-1046,2023-05-31,East,Technology,Machines,Consumer,256.29,1,0.0,42.18
CA-2023-1336,2023-06-03,West,Technology,Copiers,Corporate,1358.94,3,0.1,292.15
CA-2023-1356,2023-06-04,South,Furniture,Bookcases,Consumer,1780.79,3,0.0,618.52
CA-2023-1138,2023-06-04,South,Technology,Machines,Home Office,146.8,1,0.05,34.18
CA-2023-1226,2023-06-06,South,Office Supplies,Appliances,Corporate,177.61,4,0.0,46.2
CA-2023-1118,2023-06-06,Central,Furniture,Bookcases,Corporate,1141.46,8,0.0,341.2
CA-2023-1144,2023-06-08,East,Furniture,Tables,Consumer,301.14,2,0.0,95.47
CA-2023-1197,2023-06-11,West,Technology,Accessories,Home Office,4481.68,7,0.15,44.33
CA-2023-1303,2023-06-11,West,Furniture,Bookcases,Consumer,1606.6,5,0.2,130.64
CA-2023-1390,2023-06-14,East,Technology,Phones,Corporate,1106.72,5,0.15,32.13
CA-2023-1344,2023-06-17,Central,Office Supplies,Appliances,Corporate,58.83,5,0.15,-1.18
CA-2023-1023,2023-06-20,West,Office Supplies,Binders,Consumer,906.67,7,0.05,111.45
CA-2023-1262,2023-06-20,East,Office Supplies,Appliances,Home Office,585.12,8,0.0,94.04
CA-2023-1321,2023-06-21,Central,Technology,Accessories,Corporate,944.73,2,0.2,-0.64
CA-2023-1059,2023-06-21,Central,Technology,Copiers,Corporate,6965.0,10,0.1,437.08
CA-2023-1256,2023-06-28,East,Office Supplies,Paper,Home Office,672.19,9,0.0,208.08
CA-2023-1095,2023-06-29,East,Technology,Copiers,Consumer,1272.61,2,0.1,270.51
CA-2023-1316,2023-07-01,East,Office Supplies,Paper,Corporate,830.47,6,0.0,253.19
CA-2023-1445,2023-07-02,West,Office Supplies,Storage,Home Office,381.36,8,0.0,129.44
CA-2023-1461,2023-07-08,South,Office Supplies,Art,Consumer,141.66,1,0.0,41.1
CA-2023-1483,2023-07-09,South,Office Supplies,Appliances,Home Office,39.09,1,0.1,6.81
CA-2023-1166,2023-07-10,West,Furniture,Tables,Consumer,2742.02,8,0.1,225.0
CA-2023-1422,2023-07-11,East,Office Supplies,Storage,Consumer,307.67,3,0.0,71.66
CA-2023-1431,2023-07-13,South,Technology,Machines,Corporate,523.11,1,0.15,38.69
CA-2023-1100,2023-07-14,East,Technology,Machines,Home Office,5679.9,10,0.0,1804.32
CA-2023-1066,2023-07-15,West,Office Supplies,Storage,Home Office,232.29,2,0.0,66.93
CA-2023-1480,2023-07-17,South,Office Supplies,Storage,Home Office,38.33,1,0.15,-0.85
CA-2023-1489,2023-07-17,South,Office Supplies,Paper,Consumer,268.1,9,0.15,32.13
CA-2023-1334,2023-07-17,East,Furniture,Tables,Consumer,1782.42,3,0.0,622.87
CA-2023-1070,2023-07-18,Central,Office Supplies,Appliances,Consumer,545.61,5,0.0,95.65
CA-2023-1394,2023-07-18,East,Office Supplies,Storage,Home Office,171.84,5,0.05,21.44
CA-2023-1441,2023-07-19,East,Furniture,Bookcases,Home Office,1752.21,8,0.05,195.01
CA-2023-1263,2023-07-19,South,Furniture,Chairs,Consumer,2189.16,7,0.1,247.65
CA-2023-1133,2023-07-22,East,Technology,Phones,Corporate,513.18,3,0.1,113.03
CA-2023-1058,2023-07-24,West,Office Supplies,Binders,Consumer,93.35,1,0.1,13.33
CA-2023-1446,2023-07-24,South,Office Supplies,Paper,Home Office,143.1,4,0.15,19.6
CA-2023-1342,2023-07-25,East,Office Supplies,Binders,Consumer,60.45,1,0.0,11.47
CA-2023-1438,2023-07-26,South,Office Supplies,Art,Consumer,733.29,9,0.0,212.43
CA-2023-1195,2023-07-26,South,Office Supplies,Storage,Consumer,262.96,9,0.0,71.82
CA-2023-1298,2023-07-30,Central,Office Supplies,Art,Consumer,1315.42,9,0.0,234.77
CA-2023-1191,2023-08-01,East,Furniture,Chairs,Home Office,3052.67,9,0.0,1041.99
CA-2023-1267,2023-08-03,West,Technology,Copiers,Consumer,2825.86,10,0.15,9.03
CA-2023-1007,2023-08-03,Central,Furniture,Tables,Corporate,1802.08,5,0.15,7.62
CA-2023-1110,2023-08-06,West,Technology,Copiers,Home Office,1164.17,10,0.0,357.86
CA-2023-1415,2023-08-06,South,Office Supplies,Binders,Home Office,77.0,1,0.1,12.38
CA-2023-1285,2023-08-09,West,Technology,Phones,Corporate,763.05,1,0.0,223.21
CA-2023-1425,2023-08-10,Central,Furniture,Chairs,Consumer,3842.29,8,0.1,753.37
CA-2023-1111,2023-08-10,East,Technology,Phones,Home Office,2550.18,4,0.0,523.95
CA-2023-1495,2023-08-11,South,Furniture,Chairs,Home Office,580.15,2,0.15,86.91
CA-2023-1229,2023-08-12,East,Technology,Phones,Consumer,2981.42,9,0.05,635.95
CA-2023-1054,2023-08-13,East,Office Supplies,Appliances,Corporate,492.3,5,0.05,122.89
CA-2023-1418,2023-08-13,Central,Office Supplies,Art,Consumer,127.95,8,0.0,24.48
CA-2023-1398,2023-08-15,West,Furniture,Furnishings,Corporate,953.36,4,0.15,114.91
CA-2023-1038,2023-08-17,Central,Furniture,Bookcases,Consumer,224.51,1,0.15,36.68
CA-2023-1169,2023-08-18,Central,Office Supplies,Paper,Home Office,158.33,2,0.0,35.18
CA-2023-1018,2023-08-19,West,Office Supplies,Art,Consumer,184.76,2,0.0,27.98
CA-2023-1085,2023-08-19,South,Furniture,Chairs,Consumer,805.32,2,0.05,222.7
CA-2023-1345,2023-08-19,East,Office Supplies,Paper,Home Office,524.19,4,0.0,180.02
CA-2023-1006,2023-08-22,West,Office Supplies,Binders,Home Office,316.09,5,0.0,76.08
CA-2023-1468,2023-08-25,Central,Technology,Copiers,Home Office,314.12,1,0.1,34.22
CA-2023-1076,2023-08-26,Central,Office Supplies,Art,Consumer,84.85,5,0.15,1.42
CA-2023-1297,2023-08-27,South,Technology,Phones,Consumer,4840.9,9,0.0,1050.49
CA-2023-1312,2023-08-27,Central,Technology,Copiers,Home Office,775.37,3,0.0,239.01
CA-2023-1105,2023-08-28,West,Furniture,Bookcases,Home Office,4572.68,8,0.0,1243.84
CA-2023-1098,2023-08-31,South,Technology,Copiers,Consumer,2132.24,7,0.1,73.32
CA-2023-1439,2023-09-02,West,Office Supplies,Paper,Corporate,65.92,1,0.0,18.72
CA-2023-1283,2023-09-04,South,Technology,Copiers,Consumer,3451.88,8,0.15,577.76
CA-2023-1236,2023-09-04,East,Technology,Machines,Home Office,5532.79,10,0.2,-73.2
CA-2023-1064,2023-09-09,Central,Office Supplies,Appliances,Corporate,150.12,2,0.0,40.84
CA-2023-1022,2023-09-13,Central,Furniture,Tables,Corporate,1003.17,2,0.05,221.13
CA-2023-1035,2023-09-13,East,Technology,Machines,Home Office,1283.37,2,0.0,351.81
CA-2023-1474,2023-09-14,East,Technology,Copiers,Consumer,498.87,7,0.2,-6.51
CA-2023-1393,2023-09-15,West,Office Supplies,Binders,Home Office,259.3,4,0.1,19.48
CA-2023-1244,2023-09-15,West,Furniture,Furnishings,Corporate,1349.47,4,0.15,-11.61
CA-2023-1096,2023-09-18,South,Technology,Accessories,Home Office,4481.0,8,0.0,929.93
CA-2023-1353,2023-09-22,East,Technology,Copiers,Home Office,5307.05,9,0.2,216.99
CA-2023-1451,2023-09-23,Central,Technology,Machines,Home Office,726.98,3,0.1,71.69
CA-2023-1469,2023-09-27,South,Technology,Copiers,Consumer,1007.44,2,0.05,214.23
CA-2023-1031,2023-09-28,West,Office Supplies,Storage,Consumer,98.89,2,0.0,19.0
CA-2023-1369,2023-09-28,South,Furniture,Tables,Corporate,1498.81,8,0.0,311.92
CA-2023-1311,2023-10-04,Central,Office Supplies,Appliances,Corporate,406.22,3,0.0,124.18
CA-2023-1453,2023-10-04,West,Office Supplies,Paper,Home Office,109.51,4,0.1,24.29
CA-2023-1149,2023-10-07,West,Technology,Machines,Consumer,1339.86,8,0.1,99.7
CA-2023-1001,2023-10-09,West,Office Supplies,Binders,Home Office,454.77,4,0.0,117.82
CA-2023-1050,2023-10-11,East,Furniture,Bookcases,Home Office,2028.9,9,0.05,298.54
CA-2023-1271,2023-10-12,South,Office Supplies,Binders,Home Office,58.97,6,0.05,14.44
CA-2023-1258,2023-10-13,East,Furniture,Chairs,Consumer,964.78,2,0.1,91.84
CA-2023-1121,2023-10-13,Central,Technology,Machines,Consumer,6611.99,10,0.0,2074.08
CA-2023-1327,2023-10-16,Central,Office Supplies,Appliances,Home Office,434.76,5,0.0,107.9
CA-2023-1173,2023-10-18,Central,Furniture,Tables,Home Office,1156.35,2,0.0,318.0
CA-2023-1273,2023-10-18,Central,Technology,Copiers,Corporate,2679.01,6,0.1,264.55
CA-2023-1200,2023-10-19,West,Technology,Machines,Corporate,3204.0,8,0.15,449.24
CA-2023-1024,2023-10-20,Central,Technology,Copiers,Corporate,4577.15,7,0.15,520.34
CA-2023-1211,2023-10-21,South,Technology,Phones,Consumer,4435.62,7,0.0,1238.32
CA-2023-1467,2023-10-21,East,Technology,Phones,Corporate,619.12,8,0.1,77.65
CA-2023-1179,2023-10-25,West,Technology,Accessories,Consumer,2929.2,7,0.2,-170.07
CA-2023-1309,2023-10-30,East,Technology,Phones,Home Office,5438.56,8,0.05,906.08
CA-2023-1014,2023-11-02,West,Furniture,Tables,Home Office,2324.35,9,0.1,512.98
CA-2023-1094,2023-11-03,East,Technology,Copiers,Home Office,313.55,1,0.0,74.04
CA-2023-1282,2023-11-05,West,Office Supplies,Storage,Home Office,233.44,4,0.1,37.17
CA-2023-1127,2023-11-05,West,Furniture,Chairs,Consumer,728.83,4,0.2,-64.47
CA-2023-1106,2023-11-06,South,Office Supplies,Binders,Home Office,368.28,7,0.0,91.53
CA-2023-1275,2023-11-06,East,Furniture,Tables,Home Office,568.82,3,0.2,-22.71
CA-2023-1249,2023-11-07,East,Furniture,Furnishings,Home Office,1830.47,4,0.0,301.65
CA-2023-1354,2023-11-11,East,Technology,Machines,Home Office,4023.75,7,0.2,11.07
CA-2023-1120,2023-11-16,Central,Furniture,Chairs,Home Office,1238.22,6,0.0,241.27
CA-2023-1235,2023-11-19,West,Technology,Machines,Consumer,502.67,1,0.0,115.44
CA-2023-1448,2023-11-19,Central,Technology,Copiers,Home Office,5079.7,8,0.1,1083.0
CA-2023-1281,2023-11-19,Central,Office Supplies,Art,Corporate,262.43,3,0.0,70.86
CA-2023-1171,2023-11-21,West,Furniture,Furnishings,Consumer,681.49,2,0.05,174.33
CA-2023-1320,2023-11-22,East,Office Supplies,Binders,Home Office,794.66,10,0.0,171.83
CA-2023-1186,2023-11-23,Central,Office Supplies,Paper,Home Office,147.89,3,0.05,23.26
CA-2023-1377,2023-11-25,West,Furniture,Tables,Corporate,500.7,4,0.0,139.53
CA-2023-1246,2023-11-25,East,Office Supplies,Appliances,Corporate,1232.84,10,0.15,201.87
CA-2023-1079,2023-11-27,South,Office Supplies,Binders,Home Office,1044.02,10,0.0,336.28
CA-2023-1396,2023-11-27,West,Furniture,Tables,Consumer,4126.83,10,0.0,867.59
CA-2023-1349,2023-11-29,Central,Technology,Machines,Home Office,2762.03,5,0.0,518.36
CA-2023-1130,2023-11-29,South,Furniture,Chairs,Consumer,792.12,3,0.2,-13.96
CA-2023-1065,2023-11-29,West,Furniture,Bookcases,Corporate,1421.91,3,0.05,378.32
CA-2023-1208,2023-12-02,East,Office Supplies,Paper,Consumer,783.53,9,0.05,84.77
CA-2023-1201,2023-12-05,East,Furniture,Bookcases,Consumer,583.01,3,0.15,68.4
CA-2023-1307,2023-12-06,East,Technology,Copiers,Consumer,1516.88,2,0.0,358.94
CA-2023-1456,2023-12-09,South,Office Supplies,Binders,Home Office,617.01,5,0.0,135.02
CA-2023-1290,2023-12-10,West,Office Supplies,Storage,Consumer,1025.55,7,0.0,282.55
CA-2023-1339,2023-12-12,Central,Furniture,Bookcases,Consumer,1729.05,5,0.0,293.32
CA-2023-1375,2023-12-13,East,Office Supplies,Appliances,Home Office,571.85,9,0.1,100.26
CA-2023-1087,2023-12-15,Central,Technology,Phones,Corporate,6037.16,9,0.0,1614.26
CA-2023-1013,2023-12-15,Central,Office Supplies,Binders,Home Office,287.07,2,0.0,93.35
CA-2023-1124,2023-12-16,South,Technology,Copiers,Corporate,913.14,3,0.0,245.86
CA-2023-1360,2023-12-19,East,Office Supplies,Paper,Home Office,264.28,5,0.0,43.09
CA-2023-1337,2023-12-19,Central,Office Supplies,Binders,Home Office,666.78,7,0.0,105.01
CA-2023-1434,2023-12-19,Central,Furniture,Bookcases,Home Office,3164.9,7,0.15,50.49
CA-2023-1097,2023-12-20,West,Office Supplies,Paper,Corporate,450.14,10,0.0,143.62
CA-2023-1194,2023-12-20,South,Furniture,Chairs,Corporate,1732.97,3,0.0,580.2
CA-2023-1237,2023-12-21,West,Office Supplies,Paper,Home Office,57.68,1,0.0,17.52
CA-2023-1081,2023-12-23,West,Furniture,Furnishings,Corporate,1066.1,7,0.0,247.69
CA-2023-1347,2023-12-24,South,Office Supplies,Storage,Corporate,663.11,8,0.0,182.17
CA-2023-1053,2023-12-27,South,Office Supplies,Art,Consumer,508.01,5,0.2,8.96
CA-2023-1157,2023-12-27,East,Office Supplies,Storage,Consumer,1071.72,9,0.0,260.35
CA-2023-1444,2023-12-28,Central,Technology,Accessories,Corporate,704.71,9,0.1,34.25
CA-2023-1479,2023-12-31,West,Technology,Machines,Consumer,1188.74,3,0.15,39.64
CA-2024-1352,2024-01-03,South,Office Supplies,Appliances,Home Office,1194.38,9,0.0,222.43
CA-2024-1240,2024-01-05,South,Office Supplies,Paper,Corporate,120.78,2,0.0,24.63
CA-2024-1432,2024-01-06,Central,Furniture,Tables,Corporate,785.37,2,0.0,202.01
CA-2024-1146,2024-01-09,West,Technology,Copiers,Corporate,1974.59,4,0.05,270.13
CA-2024-1147,2024-01-12,South,Technology,Machines,Consumer,3917.89,10,0.05,765.92
CA-2024-1221,2024-01-15,West,Technology,Machines,Corporate,1083.06,2,0.1,178.42
CA-2024-1225,2024-01-15,Central,Office Supplies,Art,Consumer,648.52,6,0.05,60.47
CA-2024-1165,2024-01-16,South,Office Supplies,Paper,Corporate,392.79,8,0.2,-10.65
CA-2024-1306,2024-01-17,East,Technology,Accessories,Corporate,903.61,2,0.1,207.32
CA-2024-1359,2024-01-18,East,Technology,Phones,Home Office,624.93,1,0.0,94.25
CA-2024-1247,2024-01-21,East,Furniture,Furnishings,Corporate,1130.03,5,0.2,-56.55
CA-2024-1212,2024-01-22,South,Furniture,Bookcases,Corporate,3016.27,7,0.0,846.69
CA-2024-1323,2024-01-23,South,Furniture,Tables,Corporate,2777.78,6,0.1,404.48
CA-2024-1214,2024-01-24,South,Furniture,Furnishings,Home Office,710.24,4,0.0,230.86
CA-2024-1233,2024-01-24,West,Office Supplies,Binders,Corporate,682.91,7,0.1,31.78
CA-2024-1008,2024-01-24,East,Office Supplies,Paper,Corporate,235.45,5,0.15,29.12
CA-2024-1128,2024-01-25,East,Office Supplies,Art,Consumer,791.98,9,0.15,32.34
CA-2024-1330,2024-01-26,East,Office Supplies,Art,Corporate,450.65,6,0.0,87.99
CA-2024-1012,2024-01-26,West,Office Supplies,Art,Corporate,1239.84,10,0.05,114.43
CA-2024-1308,2024-01-27,South,Office Supplies,Art,Consumer,339.48,7,0.0,81.2
CA-2024-1400,2024-01-31,South,Technology,Machines,Consumer,2705.68,5,0.1,498.11
CA-2024-1313,2024-02-02,East,Office Supplies,Binders,Home Office,206.96,6,0.2,-5.46
CA-2024-1270,2024-02-07,East,Office Supplies,Storage,Home Office,543.93,8,0.0,130.76
CA-2024-1383,2024-02-07,East,Furniture,Tables,Consumer,742.1,4,0.05,179.17
CA-2024-1213,2024-02-07,East,Furniture,Chairs,Home Office,1902.11,9,0.0,293.97
CA-2024-1028,2024-02-10,East,Office Supplies,Storage,Corporate,357.16,3,0.15,56.13
CA-2024-1304,2024-02-10,East,Technology,Phones,Corporate,5108.15,9,0.0,797.98
CA-2024-1199,2024-02-11,East,Technology,Copiers,Consumer,6034.87,8,0.0,1963.44
CA-2024-1433,2024-02-11,Central,Office Supplies,Storage,Home Office,133.08,4,0.05,26.86
CA-2024-1500,2024-02-13,West,Technology,Copiers,Home Office,1834.7,5,0.0,554.83
CA-2024-1047,2024-02-14,South,Furniture,Tables,Corporate,411.09,4,0.0,124.98
CA-2024-1009,2024-02-15,West,Technology,Accessories,Corporate,1159.54,5,0.0,246.91
CA-2024-1021,2024-02-17,West,Office Supplies,Binders,Consumer,175.82,6,0.2,-0.05
CA-2024-1350,2024-02-18,West,Office Supplies,Paper,Home Office,406.12,6,0.15,11.83
CA-2024-1362,2024-02-18,East,Furniture,Bookcases,Consumer,592.44,1,0.0,91.46
CA-2024-1404,2024-02-22,East,Furniture,Chairs,Corporate,2104.81,7,0.05,472.87
CA-2024-1089,2024-02-25,South,Technology,Accessories,Consumer,616.19,1,0.0,140.01
CA-2024-1269,2024-02-26,West,Furniture,Bookcases,Consumer,163.44,1,0.0,32.68
CA-2024-1379,2024-02-27,West,Office Supplies,Binders,Corporate,108.76,1,0.1,24.21
CA-2024-1036,2024-02-27,East,Technology,Accessories,Consumer,610.33,1,0.0,189.48
CA-2024-1219,2024-03-02,Central,Office Supplies,Art,Home Office,597.17,7,0.0,118.36
CA-2024-1332,2024-03-04,South,Technology,Phones,Home Office,5386.85,9,0.15,351.51
CA-2024-1452,2024-03-05,South,Technology,Copiers,Consumer,4170.69,6,0.0,734.99
